condition,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544
crc,,,,,,,3.0909,,,,,,,,,,,,
crc,,,,,,,3.5138,,,,,,,,,,,,
crc,,,,,,,3.5586,0.62613,,,,,,,,,,,
crc,,,,,,,3.32389,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,0.21226,0.18285,,,12.0613,,,,,0.03108,0.19094,0.00105,,,,0.0019,0.09419,,
crc,0.15365,0.13892,,,11.7162,,,,,0.01913,0.21895,,,,,0.00273,0.1142,0.0051,
crc,0.24542,0.28551,,,13.1185,,,,,0.03338,0.22229,0.00123,,,,0.00443,0.10604,,
crc,0.14286,0.12228,,,12.2108,,,,,0.01524,0.21367,,,,,0.00724,0.09042,,
crc,,0.17426,,0.00722,0.2527,0.01419,,0.164,,0.02838,0.11366,,,,,,,,
crc,,0.24331,,0.0061,0.27058,0.02159,,0.17245,,0.0341,0.10937,,,,,,,,
crc,,0.21955,,0.0097,0.26974,0.01938,,0.16505,,0.03397,0.11746,,,,,,,,
crc,,0.22179,,0.00664,0.27498,0.02168,,0.15802,,0.02929,0.12721,,,,,,,,
crc,1.19397,0.27861,0.00035,0.01737,0.09109,,0.03085,0.20215,0.02829,,,,0.04018,0.06418,0.00342,,,0.28669,0.00026
crc,1.08432,0.32264,0.0045,0.00885,0.08073,,0.02686,0.29015,0.03764,,,,0.03083,0.06037,0.00424,,,0.2927,0.00182
crc,0.40987,0.03651,,,14.7868,,8.6245,,0.39689,2.16329,,0.06865,2.63381,,0.04015,,,0.05786,
crc,0.54427,0.03246,,,14.4645,,8.84767,0.00145,0.40082,1.29599,,0.0513,2.59697,,0.03357,,,0.07671,
crc,0.50602,0.01498,,,15.2218,0.00071,8.70896,,0.38317,0.6011,,0.06906,2.82706,,0.04577,,,0.07259,
crc,0.58388,0.02317,,,14.4254,,8.30348,0.00153,0.42907,1.8613,,0.04847,2.50391,,0.04677,,,0.06938,
crc,39.0377,,0.04532,1.14471,,,1.54326,,,,,0.64266,,0.027,,,0.52441,0.74627,
crc,40.1252,,0.04528,0.98949,,,1.33135,,,,,0.67199,,0.02207,,,0.53793,0.76811,
crc,44.1031,,0.05939,0.88443,,0.01069,1.19485,,,0.00024,,0.49874,,0.03589,0.01282,,0.55989,0.95369,
crc,,1.01169,0.01684,0.00436,2.40096,0.1262,,,,,,0.004,0.00433,,0.008,0.00737,,,
crc,,1.19284,0.02978,0.00075,2.43674,0.12664,,,,,,,0.00992,,0.01396,0.00616,0.00214,,
crc,,1.11431,0.01879,0.00293,2.44033,0.1342,,,,,,0.00182,0.01854,,0.00801,0.00518,,,
crc,,1.13784,0.02584,0.00268,2.43962,0.1441,,,,,,,0.017,,0.01647,0.00747,,,
crc,42.4702,,,,0.49938,,0.61609,0.01755,0.00441,,0.00673,,,,,,,,
crc,40.8762,,,,0.37144,,0.63812,0.03027,0.00503,,0.00738,,,,,,,,
crc,0.01347,1.60217,0.01501,0.6085,,0.17796,,,,,0.00813,0.08186,0.0502,2.59453,0.03794,0.03177,0.00236,0.0106,
crc,,1.57745,0.02022,0.62434,,0.17258,,,,,0.00186,0.09996,0.04788,2.57388,0.01963,0.01954,0.00769,,
crc,0.08115,1.27812,,0.01328,8.99354,0.37309,,,,,0.08389,0.00235,0.01183,,0.07603,0.00853,0.21068,,
crc,0.0424,1.33555,,0.01824,9.66167,0.32057,,,,,0.0944,,,,0.054,0.00384,0.18625,,
crc,0.71067,,0.01788,,,,0.09209,,,,,,0.34277,0.06649,0.79742,,,,
crc,0.88559,,0.02405,,,,0.08719,,,,,,0.39382,0.03714,0.86059,,,,
crc,0.79188,,0.01685,,,,0.09454,,,,,,0.31523,0.1186,0.83206,,,,
crc,0.78233,,0.03801,,,,0.07386,,,,,,0.30348,0.06295,0.80093,,,,
crc,1.23648,0.09574,,0.05616,,,0.45161,0.02014,,0.01723,,,0.00486,,0.02962,0.00354,0.14061,,
crc,1.27517,0.08654,,0.06137,,,0.43465,0.00474,,0.01958,,,0.00522,,0.03025,0.00401,0.13992,,
crc,0.6418,,,,0.22933,0.00105,39.0888,,0.14758,,,0.03617,,,,,,0.18304,0.3821
crc,0.4115,,,,0.24514,,38.5516,,0.16647,,,0.04612,,,,0.01656,,0.19243,0.92456
crc,0.4214,,,,,,,1.12914,,,,,,,,,,0.56246,
crc,0.35435,,,,,,,1.19979,,0.00538,,,,,,,,0.45384,
crc,0.42103,,,,,,,1.18068,,0.00722,,,,0.00196,,,,0.65101,
crc,4.01049,0.01364,0.31279,0.01011,0.14032,0.00469,2.73342,,,,0.0312,1.03545,,,0.26424,,,0.17419,
crc,3.81675,0.03123,0.33523,0.01777,0.15885,0.00265,2.81196,,,,0.03665,1.10767,0.00057,,0.2859,,,0.15947,
crc,,0.09788,0.04225,,0.17261,,12.9462,0.25311,0.82427,0.48774,,0.06265,0.23727,,,,,0.00322,0.00287
crc,,0.11919,0.04619,,0.18728,,12.8756,0.2681,0.80146,0.52358,,0.07351,0.25781,,0.00548,0.0012,,,
crc,,0.13329,0.03413,,0.20533,,13.1448,0.24745,0.81913,0.47177,,0.05831,0.28552,,,,,0.00339,
crc,,0.08995,0.05292,,0.1749,,13.0969,0.24437,0.83672,0.50686,,0.05945,0.27223,,,,,,0.00234
crc,0.08031,,,,0.02322,0.04274,,,,,,,,,,,,,
crc,0.13616,0.00713,0.01605,,0.01571,0.07416,,,,,,,,,,0.04762,0.04019,,
crc,0.09208,0.00968,0.03053,,0.00163,0.08865,,,,,,,,,,0.0638,0.04653,,
crc,0.04527,0.00875,0.03754,,0.01176,0.08706,,0.02854,,,,,,,,0.06766,0.03518,,
crc,0.05534,0.0052,0.04024,0.00065,,0.09662,,,,,,,,,,0.06547,0.04887,,
crc,0.10107,0.02061,0.08315,,,0.1695,,0.0758,,,0.00443,,,,,0.01511,,0.00713,1.25232
crc,0.09951,0.03272,0.07423,,,0.14861,,0.02178,0.00126,,,,,,,0.01671,,,1.27254
crc,0.08189,0.0228,0.10122,,,0.12531,,0.03988,,,0.00323,,,,,0.0181,,0.00401,1.21513
crc,0.11585,0.02053,0.1217,,,0.1129,,0.00704,,,0.00431,,,,,0.00569,,,1.31924
crc,1.9053,,0.0397,,,0.05055,,0.30465,,0.02601,0.08654,,,,0.11793,,,,
crc,1.51441,,0.02876,,,0.05062,,0.2887,,0.03212,0.11457,,,,0.10105,,,,
crc,1.87217,,0.03233,,,0.04694,,0.29197,,0.02291,0.10654,,,,0.11239,,,,
crc,1.94683,,0.03603,,,0.0513,,0.30056,,0.01199,0.09109,,,,0.10616,,,,
crc,0.21226,,0.00531,,0.43594,,0.0026,,,,,,,,,,0.10207,,
crc,0.21672,,0.00509,,0.4181,,0.00962,,,,,,,,,,0.08339,,
crc,0.2855,,0.01202,,0.44772,,0.00378,,,,,0.00236,,,,,0.08432,,
crc,0.18311,,,,0.42302,,0.00875,,,,,,,,,,0.08482,,
crc,0.08748,,,0.15198,0.17004,,1.70373,0.02615,0.55723,,,0.01622,0.13501,0.57128,0.01344,,,0.01851,0.33604
crc,0.03184,,,0.1537,0.21667,,1.83677,,0.56301,,,0.00679,0.13188,0.57155,,,,0.03922,0.33514
crc,0.04363,,,0.16571,0.23864,,1.78496,,0.52101,,,,0.12299,0.56937,0.01299,,,0.03489,0.34881
crc,0.08799,,,0.17697,0.19146,,1.77647,,0.56732,,,0.0126,0.12189,0.52393,,,,0.02762,0.34814
crc,0.06139,,0.02762,0.25255,0.25619,,13.8616,,1.72828,,,0.13923,0.02897,0.08382,,,0.51292,,
crc,0.22713,,0.0353,0.21462,0.15404,0.00101,13.9665,0.06851,1.74623,,,0.17032,0.02461,0.05706,0.01097,,0.51396,,
crc,0.1368,,0.0236,0.20046,0.21244,0.0137,13.9808,0.03527,1.75193,,,0.13523,0.03542,0.10731,,,0.49609,,
crc,0.07461,,0.01808,0.20113,0.12384,0.00592,13.8107,0.11363,1.75048,,,0.14725,0.02226,0.06542,,,0.5157,,
crc,0.42882,,,0.00847,0.46593,,0.03863,0.01667,,0.13522,,,,,,,,,0.00035
crc,0.4626,,,0.0092,0.53257,,0.04065,,0.00071,0.1496,,,,,,,,,0.00103
crc,0.43386,,,0.01034,0.49098,,0.03931,,0.00024,0.1362,,,,,,,0.00082,,
crc,0.47932,,,0.0114,0.46918,,0.03426,,,0.13845,,,,,,,,,0.00366
crc,0.10656,0.16158,0.04843,,,0.02893,,,,0.1219,0.41233,,,,,0.11363,,0.96839,
crc,0.08049,0.15746,0.04167,,,0.04427,,,,0.10283,0.36697,0.00092,,,,0.12431,,0.98482,
crc,0.08006,0.17909,0.04202,,,0.02381,,,,0.11701,0.44722,,,,,0.13434,,1.01517,
crc,0.05839,0.1549,0.04854,,,0.02633,,,,0.10289,0.41106,0.0028,0.00345,,,0.11077,,0.97907,
crc,,0.30195,0.04205,,1.29406,0.36347,,0.11049,,,0.23195,,,,0.01079,0.04252,0.01224,,
crc,,0.34739,0.03742,,1.53255,0.35829,,0.22758,,,0.24311,,,,0.02455,0.04073,0.00936,,
crc,,0.35558,0.03311,,1.29302,0.42021,,0.36466,,,0.23527,,,,0.01324,0.03245,0.01702,,
crc,0.01867,0.31496,0.0334,,1.39025,0.34111,,0.17594,,,0.24747,,,,,0.03452,0.0092,,
crc,0.00583,0.00456,,0.01742,,,,,,0.03692,0.24142,,,,,,,,
crc,,0.00589,,0.01688,,,,,,0.02552,0.18027,,,,,,,,
crc,,0.00367,,0.02144,,,,,,0.03415,0.20734,,,,,,,,
crc,,0.00923,,0.02281,,,,,,0.03358,0.24465,,,,,,,,
crc,,,0.00598,0.09909,,,,0.05909,,,,,,0.02999,,,,,2.03984
crc,0.0368,0.00094,0.00939,0.08375,,,,0.09267,,,,,,0.02097,,0.0134,,,2.14388
crc,0.06235,,0.01624,0.08829,,,,0.05777,,,,,,0.02402,,0.01558,,,2.14211
crc,0.03703,,0.02176,0.08801,,,,0.11071,,,,,,0.0348,,0.01064,,,2.23758
crc,0.32951,0.23405,0.02675,0.07708,,,8.94066,,,0.29118,,,0.00896,,0.02213,,,,
crc,0.32406,0.24369,0.01828,0.0821,,,8.42757,0.06331,,0.27639,,,0.00151,,0.00136,,,,
crc,0.30111,0.21835,0.026,0.09054,,,8.65076,0.03254,,0.23632,,,,,,,,,
crc,0.44884,0.2451,0.02867,0.06548,,,8.39349,0.03157,,0.2993,,,,,0.00526,,,,
crc,0.06601,0.00341,0.03915,,,0.02192,,,,0.03488,0.02255,,,,0.00931,,,,
crc,0.03226,0.01016,0.03777,,,0.01678,,,,0.02063,0.02609,,0.00091,,,,,,
crc,0.05476,0.00602,0.04028,,,0.01405,,,,0.01802,0.03538,,,,0.00332,,,,
crc,0.06502,0.00345,0.04015,,,0.01846,,,,0.02834,0.02792,,,,0.02511,,,,
crc,0.008,0.22015,,8.96498,,,,,,1.19695,,0.01619,0.02502,,0.00356,0.00558,0.02835,,
crc,,0.20416,,8.80317,,,,,,1.21473,,0.01993,0.03267,,0.01951,0.02366,0.02749,,
crc,0.01386,0.15915,,8.74591,,,,,,1.23647,,0.01135,0.02504,,0.00107,0.0217,0.02882,0.00547,
crc,,0.22075,,8.69226,,,,,,0.95935,,0.01055,0.03165,,0.03411,0.023,0.01951,0.00283,
crc,0.28093,,0.12676,,1.68091,,,0.15229,0.11751,,,0.216,0.00202,,0.01372,,,0.07684,
crc,0.33229,,0.10422,,1.52741,,,0.13792,0.12718,,,0.22171,0.00384,,,,,0.06389,
crc,0.24227,,0.13091,0.00176,1.35273,,,0.19881,0.11695,,,0.21443,0.00291,,,,,0.08928,
crc,0.28309,,0.12955,,1.24673,,,0.0103,0.13982,,,0.21477,0.00122,,0.00833,,,0.06214,
crc,0.03985,,0.00138,,1.32206,0.03093,,0.04924,,0.36904,0.00356,0.09672,,,,,,,
crc,0.09532,,0.01276,,1.40236,0.03096,,,,0.37517,0.0045,0.10803,,,,,,,
crc,0.09384,,0.0115,,1.30072,0.02292,,0.04467,,0.39018,,0.09387,,,,,,,
crc,0.03855,,0.00338,,1.50116,0.01142,,0.04645,,0.27759,0.00793,0.09373,,,,,,,
crc,,,,,,,0.82092,,0.63992,,,,0.00223,,,,,0.15461,0.331
crc,,,,,,,0.76891,,0.56934,,,,0.02479,,,,,0.15591,0.33229
crc,,,,,,,0.81411,,0.57612,,,,0.00877,,,,,0.14942,0.33156
crc,,,,,,,0.78968,,0.62353,,,,0.00474,,,,,0.16238,0.32447
crc,0.23132,0.04132,0.00315,0.15576,,0.0157,,,,,0.30633,,,0.01174,0.00563,,,,
crc,0.14806,0.03844,0.0064,0.17659,,0.02169,,,,,0.29112,,,,0.0079,,,,
crc,0.13824,0.03692,0.00658,0.14937,,0.02336,,0.02269,,,0.27081,,,0.01068,0.0152,,,,
crc,0.106,0.0387,0.00489,0.17813,,0.0157,,0.04639,,,0.26043,,0.00228,0.00859,0.00544,,,,
crc,0.01481,0.05219,,,,0.01112,47.5825,,,,,,,0.03957,0.01949,,0.00529,,
crc,,0.0662,,,,0.00962,48.1237,,,,,,,0.0451,0.00776,,0.0005,,
crc,,0.04576,,,,0.01681,47.4727,,,,,,,0.02686,0.01005,,0.00917,,
crc,0.0149,0.05867,,,,0.01193,47.3126,,,,,,,0.03133,0.00848,,0.00685,,
crc,1.58018,0.01676,,0.03109,0.1077,,4.87575,,1.6606,,0.04888,,0.13482,0.02388,,,,,
crc,1.61933,0.02107,,0.0353,0.0727,0.00413,5.04148,0.02864,1.70222,,0.0419,,0.15635,0.03999,,,,,
crc,2.07873,0.0279,,0.03457,0.07171,0.00201,5.0729,0.0234,1.60142,,0.05232,,0.14071,0.03499,,,,0.00475,
crc,1.61087,0.02739,,0.02887,0.08476,0.00264,4.92004,0.02261,1.66212,,0.03226,,0.15368,0.03035,,,,,
crc,,0.03985,0.0238,0.04174,,0.07033,,,0.6557,,,,0.05572,0.00607,,,,,
crc,0.00911,0.02543,0.02381,0.04777,,0.08909,,0.01704,0.68726,,,,0.05774,0.00078,,,,,
crc,0.00911,0.04481,0.03687,0.03526,,0.09636,,0.00785,0.69889,,,,0.04593,0.00911,,,,,
crc,0.04554,0.04396,0.02605,0.0406,,0.07191,,0.0051,0.67641,,0.00055,,0.06218,0.00823,,,,,
crc,0.61328,0.00247,0.04016,,0.23342,0.07758,,0.21722,,,0.10107,,,,,,,,
crc,0.56001,,0.0309,,0.16926,0.10175,,0.14915,,,0.08951,,,,,,,,
crc,0.39308,0.00126,0.0326,,0.24316,0.08328,,,,,0.09979,,,,,,0.00099,,
crc,0.65821,,0.03591,,0.34839,0.06309,,0.25745,,,0.09381,,,,,,0.00192,,
crc,2.83194,0.03506,0.07483,0.01101,,0.12376,,,0.01917,,,0.11114,,,0.00371,0.00095,0.00156,0.01485,2.30339
crc,2.6804,0.03558,0.05848,0.02094,0.00572,0.12203,,,0.01979,,,0.12316,,,0.00365,0.00769,,0.0397,2.29171
crc,2.61041,0.03309,0.07113,0.01204,,0.16203,,,0.02549,,,0.1171,,0.00411,0.0079,0.01155,,0.0387,2.3831
crc,2.6057,0.04277,0.05371,0.00655,,0.14439,,,0.01604,,0.0008,0.09989,,,,0.00453,0.00079,0.05806,2.54881
crc,0.16693,0.00324,0.20148,,0.01398,,,,0.48218,0.00521,,0.00806,,,,,0.02719,,2.50479
crc,0.08944,0.00867,0.17577,,0.01089,,,,0.51568,0.01368,,0.00559,,,,,0.01092,,2.50245
crc,0.21874,0.00569,0.18591,,0.01553,,,,0.48892,0.014,,0.01201,,,,,0.01691,,2.51878
crc,0.11236,,0.18928,,0.01337,,,0.03172,0.53547,0.00818,,0.00244,,,,0.00369,0.01656,,2.40934
crc,3.83025,0.00318,0.01082,,0.47663,0.04525,0.00071,,3.84498,0.07717,,0.00911,,,,0.07254,,0.00806,0.07681
crc,4.14711,0.00914,0.00751,,0.6009,0.03372,0.00186,,3.83767,0.07374,,0.00891,,,,0.08732,,,0.09915
crc,3.84107,0.009,0.0007,,0.56217,0.04636,0.00185,,3.97745,0.08977,,0.00896,,,,0.09653,,,0.07663
crc,4.21653,0.00458,0.00205,,0.51016,0.04102,0.0092,,3.96027,0.09204,,0.00268,,,,0.08478,,,0.07896
crc,0.06644,,0.06416,,,0.00313,,0.03551,,,,0.06323,,,,0.00689,,,0.00147
crc,0.06487,,0.06919,,,0.01344,,0.03791,,,,0.08346,,,,0.00208,,,0.00423
crc,0.04883,,0.06273,,,0.00904,,0.06871,,,,0.06406,,,,0.00971,,,0.00235
crc,0.06355,,0.06757,,,0.01444,,0.03738,,,,0.06069,,,,0.00393,,,0.0014
crc,9.48376,0.09922,0.00794,1.03772,0.01522,,,,,,0.1042,0.01086,0.00669,0.23569,,,,,
crc,8.62457,0.0861,0.00613,1.10935,0.02143,,,,,,0.11212,,0.00485,0.25927,0.00943,,,,
crc,8.79482,0.09257,,1.04775,0.00741,,,0.02602,,,0.1226,0.01074,,0.23048,0.00923,,,,
crc,8.94942,0.08598,0.00741,1.01017,0.00546,,,,,,0.08264,0.00874,,0.2371,0.00432,,,,
crc,0.02122,0.0543,,0.64339,,,,,,0.00113,,0.05759,0.00907,,0.00971,,0.00215,,
crc,0.03694,0.0692,,0.62594,,,,,,,,0.0473,0.01358,,0.00435,,0.0029,,
crc,0.92408,0.25438,,0.41819,0.01084,0.00368,,0.06942,,,0.0859,,0.0941,,0.14712,,,,
crc,0.94282,0.28259,,0.39991,0.01068,0.0061,,,,,0.04996,,0.08375,,0.14193,,,,
crc,0.93239,0.30997,,0.35566,0.03441,0.00252,,,,,0.06541,,0.05653,,0.16918,,,,
crc,0.82188,0.32429,,0.38771,0.01411,0.00368,,,,,0.07943,,0.10095,,0.1383,,,,
crc,0.43964,,,0.00856,6.58148,,,,0.01054,,,,0.00508,0.02627,,,,,
crc,0.49534,,,0.00256,6.62492,,,,0.0036,,,,,0.03939,,,,,
crc,0.32053,,,0.00353,6.69228,,,,0.00719,,,,,0.02549,,,,,
crc,0.43259,,,0.00173,6.37395,,,,0.01036,,,,,0.02681,,,,,
crc,1.25126,0.05098,,0.00148,,,0.02016,,,,,0.10062,,,0.00772,,,,
crc,1.49755,0.01708,,,,,0.01044,,,,,0.10058,,,0.0037,0.00179,,,
crc,1.30659,0.03213,,0.01024,,,0.02379,,,,,0.10996,,,,,,,
crc,1.61604,0.02458,,0.00374,,,0.01432,,,,,0.11232,,,0.02051,0.00462,,,
crc,0.03216,0.01343,0.01225,0.00474,1.02049,0.02753,9.2808,0.04554,,,0.01613,0.02092,,0.05602,,,,0.18624,
crc,0.05686,,0.00068,0.00119,0.94167,0.01972,9.04071,,,,0.01234,0.01002,,0.08316,,,,0.1547,
crc,0.06466,,0.00069,0.00173,0.96022,0.03677,9.39328,0.01689,,,0.02289,0.01036,,0.07409,,,,0.1795,
crc,0.02818,,0.01192,0.00827,0.84722,0.03092,9.3023,0.03262,,,0.02154,0.00299,,0.05865,,,,0.15697,
crc,0.73723,0.00268,0.19651,,,0.02928,2.56014,0.14992,,1.07454,,,,,,,,,
crc,0.67442,0.00433,0.20913,,,0.043,2.56331,0.1851,,1.16836,,,,,,,,,
crc,0.78659,,0.22637,,,0.03165,2.60972,0.15389,,0.9873,,,,,,,,,
crc,0.54129,0.0018,0.21639,,,0.04051,2.56373,0.13441,,1.11673,,,,,,,,,
crc,,0.83243,0.02858,,,0.1774,,0.04897,,0.23322,,0.00378,,,,0.03423,,,
crc,0.01172,0.79042,0.03946,,,0.21234,,0.02179,,0.22372,,0.00904,,0.00293,,0.04848,,,
crc,0.0355,0.81877,0.02213,,,0.19961,,0.00748,,0.22735,,0.0115,,,,0.04506,,0.00933,0.00308
crc,,0.87882,0.03625,,,0.18349,,0.08711,,0.20434,,0.01668,,0.00395,,0.04584,,0.00499,0.00061
crc,0.03942,0.04863,0.01354,0.04123,,0.06729,,,,,,,,,,,,0.00442,2.54368
crc,0.02749,0.03123,0.01673,0.02766,,0.06701,,0.04818,,,,,,,,,,,2.55489
crc,0.06005,0.04594,0.01907,0.04407,,0.05613,,0.06262,,,,,,,,,,,2.4161
crc,0.02455,0.03771,0.01646,0.03014,,0.07038,,0.01991,,,,,,,,,,,2.5608
crc,0.05967,0.0965,0.01817,0.00147,,0.05961,,0.02613,,0.00468,,0.0016,,0.008,,,0.00601,,
crc,0.07502,0.08615,0.01719,,,0.06442,,0.01464,,0.01135,0.00089,,,0.01672,0.00146,,0.00432,,
crc,0.08065,0.07834,0.01678,0.00322,,0.05478,,0.02658,,0.01118,0.0003,,,0.00862,,,0.00627,,
crc,0.04077,0.07971,0.01613,,,0.06111,,0.02984,,0.00653,0.0009,,,0.00778,,,0.00287,,
crc,0.12737,,0.17077,0.15978,,0.04127,,,,,,0.0841,,0.28625,0.00335,,0.03111,,
crc,0.06734,,0.16621,0.15593,,0.03279,,,,,,0.0663,,0.34803,,,0.04171,,
crc,0.04905,,0.14688,0.15398,,0.04719,,0.02536,,,,0.06175,,0.35161,,,0.04479,,
crc,0.11589,,0.1539,0.14779,,0.0511,,0.02717,,,,0.05769,,0.33101,,,0.05324,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,,2.3102,,,,,,,,,,,,
crc,,,,,,,2.73238,,,,,,,,,,,,
crc,0.41296,,,,,,2.93481,,,,,,,,,,,,
crc,,,,,6.13075,,,,,,,,,,,,,,
crc,0.24485,,,,5.84979,,,,,,,,,,,,,,
crc,,,,,6.40475,,,,,,,,,,,,,,
crc,,,,,5.80451,,,,,,,,,,,,,,
crc,,0.13239,,,0.0751,,,0.16676,,,,,,,,,,,
crc,,0.04633,,,0.00981,,,0.26812,,,,,,,,,,,
crc,,0.06669,,,0.05586,,,0.51629,,,0.01814,,,,,,,,
crc,,0.05982,,,0.08675,,,0.10783,,,,,,,,,,,
crc,2.13232,0.17703,,,,,,0.36714,,,,,,,,,,0.2587,
crc,1.55305,0.19098,,,,,,0.21617,,,,,,,,,,0.44021,
crc,1.31725,,,,11.3621,,8.28421,,0.27361,,,,1.94593,,,,,,
crc,0.908,,,,11.4011,,9.63375,,0.31349,,,,1.82154,,,,,,
crc,0.90705,,,,11.2127,,9.64752,,0.50354,,,,1.7183,,,,,,
crc,,,,,12.6479,,8.88505,,0.19754,,,,1.28307,,,,,,
crc,54.783,,,0.63733,,,0.87734,,,,,0.22858,,,,,0.14325,1.26723,
crc,52.1745,,,0.69355,,,1.08138,,,,,0.21607,,,,,0.08125,1.21287,
crc,56.7372,,,0.51915,,,0.67903,,,,,0.2209,,,,,0.13285,1.8216,
crc,,0.95565,,,1.50301,0.2191,,,,,,,,,,,,,
crc,,0.79798,,,1.79254,0.24692,,,,,,,,,,,,,
crc,,1.32523,,,1.49625,0.21138,,,,,,,,,,,,,
crc,,0.90364,,,1.62442,0.09464,,,,,,,,,,,,,
crc,44.083,,,,0.11844,,0.26486,,,,,,,,,,,,
crc,47.7826,,,,0.1859,,0.27428,,,,,,,,,,,,
crc,,2.03454,,0.30574,,0.30809,,,,,,,,1.95575,,,,,
crc,0.19636,1.73706,,0.33022,,0.19101,,,,,,,,2.0964,,,,,
crc,0.2458,0.95076,,,5.21649,0.52673,,,,,,,,,,,,,
crc,0.12702,0.87934,,,5.91751,0.59365,,,,,,,,,,,,,
crc,1.67663,,,,,,,,,,,,,,,,,,
crc,1.43597,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,0.63847,,,,,,,,,,,,,,,,,,
crc,1.69261,0.01419,,0.01506,,,0.55021,,,,,,,,,,0.05075,,
crc,1.51957,0.02657,,0.00673,,,0.59474,,,,,,,,,,0.05416,,
crc,1.17166,,,,0.16292,,37.3929,,,,,,,,,,,0.14962,0.38935
crc,0.38338,,,,,,37.3546,,0.09202,,,,,,,,,0.07777,0.3952
crc,0.3504,,,,,,,1.95489,,,,,,,,,,0.80288,
crc,1.26504,,,,,,,0.94381,,,,,,,,,,1.0185,
crc,0.89826,,,,,,,2.46924,,,,,,,,,,1.00134,
crc,5.8469,,0.27789,,0.06822,,2.47185,,,,,0.77574,,,0.04716,,,0.30186,
crc,4.88506,,0.29283,,0.14363,,2.96529,,,,,0.74784,,,0.16702,,,0.32527,
crc,,,,,0.03705,,9.40254,0.26376,0.71129,0.19294,,,0.06904,,,,,,
crc,,,,,0.0662,,9.47661,0.29441,0.80092,0.18705,,,,,,,,,
crc,,,,,0.0663,,9.34394,0.21819,0.85125,0.19441,,,,,,,,,
crc,,,,,,,10.069,0.42668,0.82877,0.16095,,,0.02437,,,,,,
crc,0.07473,,0.0047,,,0.08974,,,,,,,,,,0.03622,0.00993,,
crc,,,,,,,,,,,,,,,,,,,
crc,0.31857,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,0.08305,,0.34202,,,,,,,,,,,1.75947
crc,0.22127,,,,,0.04462,,,,,,,,,,,,,1.59924
crc,0.20922,,,,,0.06867,,,,,,,,,,,,,1.67598
crc,0.25484,,,,,0.0837,,,,,,,,,,,,,1.76738
crc,2.75232,,,,,,,0.52823,,,,,,,,,,,
crc,2.94613,,,,,,,0.1176,,,,,,,,,,,
crc,2.95076,,,,,,,1.80779,,,,,,,,,,,
crc,1.42952,,,,,,,,,,,,,,,,,,
crc,0.65462,,,,0.12963,,,,,,,,,,,,,,
crc,0.70411,,,,0.06212,,,,,,,,,,,,,,
crc,0.48398,,,,,,,,,,,,,,,,,,
crc,0.95396,,,,,,,,,,,,,,,,,,
crc,,,,0.03914,,,1.49366,,0.41037,,,,,0.058,,,,,0.33151
crc,0.2412,,,,,,1.26999,,0.37512,,,,,0.04147,,,,,0.43188
crc,,,,,,,1.61606,,0.36011,,,,,,,,,,0.40516
crc,0.26187,,,,,,1.17537,,0.29989,,,,,0.04447,,,,,0.39994
crc,0.74211,,,,,,12.6806,,1.57316,,,,,,,,0.16358,,
crc,0.38387,,,,,,13.0509,0.80617,1.68961,,,,,,,,0.31172,,
crc,,,,,,,13.5977,,1.53904,,,,,,,,0.18228,,
crc,,,,,,,13.5874,,2.01818,,,,,,,,0.20121,,
crc,0.70916,,,,0.24775,,,,,0.03132,,,,,,,,,
crc,0.88987,,,,0.08877,,,,,,,,,,,,,,
crc,0.88729,,,,0.37804,,,,,,,,,,,,,,
crc,0.89312,,,,0.18852,,,,,,,,,,,,,,
