condition,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544
crc,,,,,,,,,,,0.2076,,,,,,,1.55138,
crc,0.28771,,,,,,,,,,0.1734,,,,,,,0.36619,
crc,0.60546,,,,,,,,,,0.11354,,,,,,,0.2496,
crc,,,,,,,,,,,0.12793,,,,,,,0.52986,
crc,,0.29547,,,0.5993,0.63361,,,,,0.05502,,,,,,,,
crc,,,,,0.7369,0.69039,,,,,0.21535,,,,,,,,
crc,,0.03788,,,1.00547,0.56883,,1.39886,,,0.1319,,,,,,,,
crc,,0.02018,,,1.10454,0.65933,,,,,0.09407,,,,,,,,
crc,,,,,,,,,,,0.10452,,,,,,,,
crc,,,,,,,,,,,0.14225,,,,,,,,
crc,,,,,,,,,,,0.04601,,,,,,,,
crc,,,,,,,,,,,0.20849,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,2.27802
crc,0.1813,,,,,,,0.34637,,,,,,,,,,,2.2189
crc,,,,,,,,,,,,,,,,,,,2.41394
crc,,,,,,,,,,,,,,,,,,,2.39013
crc,0.48205,,,,,,7.68308,,,,,,,,,,,,
crc,0.39653,,,,,,7.51226,,,,,,,,,,,,
crc,0.8069,,,,,,8.1364,,,,,,,,,,,,
crc,0.81684,,,,,,7.17309,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,0.66585,,,,,,,0.51414,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,7.28313,,,,,,1.47743,,,,,,,,,
crc,,,,8.08619,,,,,,1.66322,,,,,,,,,
crc,,,,7.62692,,,,,,1.50173,,,,,,,,,
crc,,,,8.03608,,,,,,1.51101,,,,,,,,,
crc,0.3465,,,,0.79957,,,,,,,,,,,,,,
crc,0.69717,,,,1.05047,,,,,,,,,,,,,,
crc,,,,,0.39174,,,,,,,,,,,,,,
crc,0.74965,,,,0.49058,,,,,,,,,,,,,,
crc,,,,,0.38106,,,,,,,,,,,,,,
crc,,,,,0.43484,,,,,,,,,,,,,,
crc,,,,,0.53932,,,,,,,,,,,,,,
crc,,,,,0.72059,,,,,,,,,,,,,,
crc,,,,,,,0.47515,,0.4166,,,,,,,,,,0.22712
crc,,,,,,,0.51585,,0.5341,,,,,,,,,,0.284
crc,,,,,,,0.56332,,0.5012,,,,,,,,,,0.36364
crc,,,,,,,0.39999,,0.35774,,,,,,,,,,0.26477
crc,0.16824,,,0.03913,,,,,,,0.1252,,,,,,,,
crc,0.18215,,,,,,,,,,0.21487,,,,,,,,
crc,0.18855,,,0.02241,,,,,,,,,,,,,,,
crc,0.18143,,,,,,,,,,0.07782,,,,,,,,
crc,0.1775,,,,,,45.1948,,,,,,,,,,,,
crc,,,,,,,44.8418,,,,,,,,,,,,
crc,0.19909,,,,,,45.827,,,,,,,,,,,,
crc,,,,,,,46.9916,,,,,,,,,,,,
crc,2.53423,,,,,,3.93782,,1.54941,,,,,,,,,,
crc,1.77838,,,,,,3.20921,,1.57511,,,,,,,,,,
crc,3.12247,,,,,,4.48594,,1.60819,,,,,,,,,,
crc,2.6031,,,,,,4.18115,,1.59817,,,,,,,,,,
crc,,,,,,0.02847,,,0.54545,,,,,,,,,,
crc,0.24368,,,,,,,,0.52756,,,,,,,,,,
crc,,,,,,,,,0.73127,,,,,,,,,,
crc,0.24952,,,,,,,,0.69578,,,,,,,,,,
crc,0.82481,,,,,,,0.5151,,,,,,,,,,,
crc,0.60612,,,,,,,,,,,,,,,,,,
crc,1.72309,,,,0.1608,,,,,,,,,,,,,,
crc,0.93039,,,,,,,,,,,,,,,,,,
crc,3.53897,,,,,0.11788,,,,,,,,,,,,0.08685,3.4283
crc,5.42778,,,,,,,,,,,,,,,,,,3.21721
crc,2.85124,,,,,0.13558,,,,,,,,,,,,,3.11029
crc,4.2071,,,,,0.04753,,,,,,,,,,,,,3.5787
crc,0.48308,,,,,,,,0.60242,,,,,,,,,,3.62942
crc,,,,,,,,,0.48597,,,,,,,,,,3.21009
crc,0.45626,,,,,,,,0.33345,,,,,,,,,,3.56135
crc,0.13995,,,,,,,,0.40737,,,,,,,,,,3.33815
crc,4.35489,,,,0.0805,,,,3.63404,,,,,,,,,,0.09863
crc,5.76503,,,,0.4784,,,,3.58774,,,,,,,,,,0.00913
crc,4.89177,,,,0.08961,,,,3.57722,,,,,,,,,,
crc,4.72028,,,,0.17355,,,,3.66911,,,,,,,,,,0.00925
crc,0.17489,,,,,,,,,,,,,,,,,,
crc,0.19287,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,0.6674,,,,,,,,,,,,,,,,,,
crc,12.8323,,,0.75922,,,,,,,,,,,,,,,
crc,11.301,,,0.78486,,,,,,,,,,,,,,,
crc,11.5035,,,0.83364,,,,,,,,,,,,,,,
crc,12.0682,,,0.65148,,,,,,,,,,,,,,,
crc,,,,0.32987,,,,,,,,,,,,,,,
crc,,,,0.37954,,,,,,,,,,,,,,,
crc,0.74079,,,0.04519,,,,,,,,,,,,,,,
crc,1.18992,,,0.09613,,,,,,,,,,,,,,,
crc,0.76867,,,0.14057,,,,,,,,,,,,,,,
crc,1.9408,,,0.11704,,,,,,,,,,,,,,,
crc,0.89787,,,,3.32905,,,,,,,,,,,,,,
crc,0.67329,,,,3.64188,,,,,,,,,,,,,,
crc,0.33085,,,,3.81146,,,,,,,,,,,,,,
crc,0.71775,,,,4.70737,,,,,,,,,,,,,,
crc,1.50029,,,,,,,,,,,,,,,,,,
crc,0.6442,,,,,,,,,,,,,,,,,,
crc,1.90269,,,,,,,,,,,,,,,,,,
crc,1.68868,,,,,,,,,,,,,,,,,,
crc,0.49308,,,,0.21373,,10.4858,,,,,,,,,,,,
crc,,,,,0.3402,,10.573,,,,,,,,,,,,
crc,0.25711,,,,0.33211,,10.3302,,,,,,,,,,,,
crc,0.26836,,,,0.617,,11.0459,,,,,,,,,,,,
crc,0.26224,,,,,,2.04448,,,0.5234,,,,,,,,,
crc,0.97421,,,,,,1.96501,,,0.34076,,,,,,,,,
crc,0.7392,,,,,,1.92034,,,0.25178,,,,,,,,,
crc,1.06095,,,,,,2.03556,,,0.20951,,,,,,,,,
crc,,0.51395,,,,0.20859,,,,,,,,,,,,,
crc,,0.34391,,,,0.18014,,,,,,,,,,,,,
crc,,0.32212,,,,0.15248,,,,,,,,,,,,,
crc,,0.55294,,,,0.38297,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,3.45805
crc,,,,,,,,,,,,,,,,,,,2.8487
crc,,,,,,,,,,,,,,,,,,,2.7626
crc,,,,,,,,,,,,,,,,,,,3.19773
crc,0.56273,,,,,,,,,,,,,,,,,,
crc,,,,,,0.0619,,,,,,,,,,,,,
crc,,,,,,0.08491,,,,,,,,,,,,,
crc,,,,,,0.0249,,,,,,,,,,,,,
crc,,,,0.05998,,,,,,,,,,0.10216,,,,,
crc,0.16341,,0.07632,0.00953,,,,,,,,,,0.04194,,,,,
crc,0.16301,,0.0115,0.03725,,,,,,,,,,0.13089,,,,,
crc,0.333,,0.05578,0.00963,,,,,,,,,,0.11005,,,,,
crc,0.648914,0.022444,0.00546849,0.716636,3.17E-05,0.000168911,11.6652,0.0755138,0.00391662,0.00500399,0.380145,0.0438218,0.00207972,0.101663,0.00673532,0.0211244,0.789743,0.0784697,0.433447
crc,1.78319,0.00495805,0.00790189,0.0574824,0.00464817,0.0283538,0.0725115,0.0605812,0.0999357,0.00433829,,0.0320724,0.000309878,0.334823,0.00418335,0.00898647,0.437393,0.00774695,
crc,0.000395127,0.00790255,0.00889036,0.0142246,0.0395127,0.000987818,0.330722,0.0387225,0.0632204,0.00158051,0.183734,0.00968062,,0.0521568,0.000197564,0.00513665,0.0997696,0.152717,
crc,0.00126889,0.0551965,0.00338369,0.00338369,0.0099396,0.0898794,0.220786,0.0247433,0.156919,0.0010574,0.00803627,0.0467373,0.000422962,0.0177644,0.000211481,0.0308762,0.229034,0.0653476,0.0765561
crc,0.00346,0.01151,0.03073,,,0.00285,,0.02906,,,0.0851,,,,,,,,
crc,0.01776,0.01311,0.07301,,0.0104,0.01359,,0.00961,0.24816,,,,,,,0.01072,0.02326,,2.77079
crc,0.01623,0.00787,0.04065,0.00286,,,,0.02054,,0.03704,,,,,,0.00283,,,
crc,0.28606,0.0354,0.01997,,0.97036,,2.71637,0.04026,30.6545,0.01355,,,0.0819,0.00019,,,,,
crc,2.46755,0.36327,,0.51548,,,0.05808,,,1.07688,,0.29399,0.2269,1.23288,0.01576,,0.01942,,
crc,,0.01273,0.03818,0.6621,,0.01893,,0.03938,,0.00453,,,,0.03828,,0.02305,,,
crc,,0.0507,0.03322,,,0.00129,,0.03663,,,0.08535,,,,,,,,
crc,15.4363,0.20311,0.09815,0.30869,,0.05492,,0.03708,,0.04904,,,,0.8197,0.00174,0.00382,0.30891,,
crc,0.01179,0.02693,0.02037,0.01741,,,,0.00969,,0.23137,0.03412,,,0.03245,,0.00046,,,
crc,0.19134,0.0525,,,2.84658,0.02567,,0.4078,,,,,,,,0.14773,,0.01385,
crc,0.0227,0.0209,0.084,,0.01132,0.00857,,,0.60779,,,,,,,0.00521,0.03278,,1.04573
crc,0.08674,0.01023,0.09411,0.00986,,0.00531,,0.00439,,0.35506,,,,,,0.01791,,,
crc,0.15442,0.01281,0.055,0.00822,1.90776,0.02503,,0.28413,0.00287,0.15606,,,,0.00087,,0.03448,0.02279,0.21122,
crc,2.2722,0.43542,,0.667,,,,,,1.7815,,0.112,0.2405,0.4015,0.00522,,,,
crc,0.14205,0.02614,0.01382,,1.24096,,2.0171,0.02523,30.8073,0.01647,,,0.1012,,,,,,
crc,,0.00961,0.01944,0.45075,,0.00437,,0.03792,,,,,,0.01192,,0.00906,,,
crc,0.16829,,,,4.29296,0.02382,,1.07168,,0.37945,,,,,,0.25592,,0.05951,
crc,0.99675,,0.10218,0.00455,1.86057,0.01577,,0.25268,0.03972,0.24214,,,0.00312,,,0.08361,,0.29041,
crc,0.01892,0.06333,0.00897,,,0.07169,,0.08611,0.00323,0.99671,,,,,,0.0025,,,
crc,0.02384,0.00887,0.0352,0.02,,,,0.01135,,0.06924,0.02524,,,0.07434,,0.00715,,,
crc,28.3696,0.1129,0.0892,0.19825,,0.05759,0.00132,0.04304,,0.02035,,0.00143,,0.73231,0.00551,0.00565,0.30695,,
crc,,0.00561,0.02705,,,0.003,,0.0261,,,0.09648,,,,,,,,
crc,0.02639,0.17426,0.02958,,,0.14135,0.00105,0.12866,0.00658,0.32584,0.00328,0.00553,,,,0.00986,,,
crc,0.01153,0.00947,0.05475,0.00319,,0.0006,,0.00311,,0.07697,,,,,,0.00374,,,
crc,0.00339,0.0151,0.06385,,0.00554,0.00993,,0.0068,0.17237,,,,,,,0.00987,0.02813,,3.39826
crc,2.54307,0.40828,,0.72276,,,0.07645,,,1.1216,,0.18702,0.22741,1.26092,0.01604,,0.01995,,
crc,0.19538,0.03016,0.02366,0.00101,1.03371,,2.12808,0.02757,26.9512,0.0123,,,0.09161,0.00351,,,,,
crc,,0.01251,0.03743,0.60764,,0.01624,,0.03277,,0.00396,,,,0.03471,,0.01717,,,
crc,0.17022,0.06963,,,3.42802,0.02306,,0.46934,,0.09347,,,,,,0.16454,,0.01469,
crc,0.61438,0.00779,0.04768,0.00715,2.75846,0.01828,,0.26083,0.00815,0.2007,,,0.00507,0.01075,,0.02612,0.00784,0.14031,
crc,0.00101804,0.0076353,0.0559922,0.00203608,,0.00050902,0.0967138,1.50721,0.00967138,0.387364,0.00050902,,0.0101804,0.00050902,,0.0132345,0.0295232,0.182738,
crc,,0.00697972,0.0438726,0.454181,,,0.0558378,0.807654,0.00249276,0.101705,,0.00747828,0.000498552,0.0358957,,,,0.000997103,0.00199421
crc,0.00184089,0.0193294,0.0119658,0.00736357,,0.000920446,0.122419,3.69927,0.00828401,0.191453,,,0.00184089,,,0.0625903,,0.0368178,0.000920446
crc,,0.00540041,0.0342026,0.00300023,,0.00540041,0.112209,0.587445,0.00540041,0.0210016,0.000600046,0.00180014,0.000600046,0.000600046,,0.00120009,0.000600046,0.00300023,0.580844
crc,,0.00860816,0.0389899,0.00455726,,0.00759544,2.55055,0.751442,0.0263308,0.18229,0.00202545,0.00151909,0.00303817,,0.000506362,0.00759544,0.00962089,0.000506362,0.0394963
crc,0.000706487,0.0642903,0.000353243,0.128227,,0.000353243,0.0688824,0.375851,0.0024727,0.0388568,0.000353243,0.0766538,0.0455684,0.239146,0.0127168,,0.0137765,0.00105973,0.000353243
crc,,,0.0184807,0.000924035,,,25.6808,3.19624,5.21803,,0.000924035,,0.0369614,0.00554421,0.0332653,,0.0489739,0.00184807,0.775265
crc,,0.0202419,0.0524449,0.0161015,,,0.0460043,0.0450842,0.010581,0.0174816,1.2458,,,0.0446242,0.00184017,0.0156415,,0.000460043,0.00138013
crc,0.0275339,0.00832421,0.0403404,0.132547,,0.000640324,0.0486646,0.262533,0.0102452,0.0230517,0.00192097,0.0166484,0.00128065,0.19786,0.0230517,0.00896453,0.23692,0.000640324,
crc,,0.00321707,0.0422815,0.00229791,,,0.144309,0.0730735,0.00781289,0.00919164,4.7268,0.0050554,,,0.016545,,,,
crc,,0.0181935,0.0198474,0.00454837,,0.00165395,0.112469,0.36635,0.00578883,0.00785627,0.0301846,0.00248093,,0.00165395,,0.0070293,,0.00165395,0.287788
crc,0.0132932,0.00443105,0.00443105,0.0177242,,,2.63648,0.0753279,,,0.0354484,0.0221553,0.119638,,0.155087,0.0797589,1.13435,,
crc,2.58972,0.00748475,0.0224542,0.0187119,,,2.24542,0.0149695,,,0.217058,,0.0785899,0.0336814,0.0711051,0.00748475,0.991729,0.00374237,
crc,0.890926,0.00569282,,0.00569282,,,0.156552,0.0199249,0.0170784,,,,0.0540817,,0.0313105,,0.0569282,0.00569282,
crc,0.435698,0.0110771,0.0110771,,,0.00369235,1.92741,0.0996935,9.73304,,0.0775394,,0.284311,,0.00369235,0.151386,0.00738471,0.0738471,
crc,0.00899281,0.0179856,,0.00899281,,,6.25899,0.022482,,,0.0044964,,0.044964,,0.0719424,0.251799,0.831835,,
crc,0.00535992,,,0.00535992,,,0.0214397,,4.9472,0.0321595,0.0107198,0.00535992,21.8845,0.0107198,7.13405,0.0321595,0.182237,,
crc,1.98942,,,0.191659,,,0.0153327,,0.130328,,0.176326,,0.042165,0.00383318,0.103496,,9.57528,0.00766636,
crc,0.0370828,0.0412031,,0.0288422,,,5.5377,0.123609,,,0.0906469,0.00412031,0.238978,0.00412031,0.00824063,0.0247219,0.535641,0.325505,
crc,22.8327,,,0.10355,,,12.1445,0.0323593,,,0.00647186,0.00323593,0.113258,0.00323593,0.0226515,0.00647186,0.0323593,0.122965,0.00647186
crc,0.0708851,0.00472567,0.00945135,0.0897878,,,3.94121,,,,0.0567081,,0.0425311,0.00472567,0.307169,,21.3837,,
crc,0.0175698,0.0070279,,0.0351395,,,,0.0105419,,,0.0070279,0.0105419,0.0913627,0.0105419,0.456814,0.0210837,45.0734,0.0175698,
crc,0.10411,0.0743642,,0.0694066,,,6.37549,,0.00495761,,,0.00495761,0.10411,0.604829,0.252838,,16.8113,0.00495761,
crc,27.4535,0.00416025,,0.0208013,0.00416025,,,0.00832051,,,0.00832051,,5.68707,,4.9299,0.0624038,6.28198,0.00416025,
crc,0.241026,,,,,,0.159448,,0.0074162,,0.0222486,,0.200237,,0.0259567,0.148324,0.255859,,
crc,1.5573,0.00811096,0.00405548,0.0162219,,,23.5421,0.00405548,,,,,0.0364993,0.0364993,0.00811096,0.0851651,0.0202774,0.0405548,0.0162219
H2029,0.06296,,,0.06057,0.07439,,,0.00418,,,0.00922,,,,,,,,
H2029,0.04296,,,0.68851,,0.11447,,,,,0.00538,,,,,,,0.49124,
H2029,0.03621,,0.05502,,,,,0.02879,,,1.00279,,,,,,,,
H2029,0.03842,,0.08264,,,,,0.00313,,0.06775,0.7463,,,,,,,,
H2029,0.26319,,0.04178,0.00786,,,,,,,0.59691,,,,,,,,
H2029,1.60071,,0.10691,0.52546,0.09382,0.02397,,,,,0.11358,,,,,,,0.20212,1.86277
H2029,,,0.05228,,,,,,,,0.0253,,,0.027,,,,,5.61599
H2029,0.12242,,0.4328,,,,,0.30074,,,,,,,,,,,
H2029,,,,0.49006,,,,,,,1.34498,,,2.63707,,,,,
H2029,0.108,,0.00909,0.00745,,,,0.00657,,,,,,,,,,,0.33167
H2029,0.0387,,0.151,0.03499,,0.00637,0.00376,0.17738,,,,,,,,0.02579,,,
H2029,,,0.09622,,2.41532,,9.74999,0.19652,,,,,,,,,,0.57595,
H2029,0.33736,,,,,0.1724,,1.26754,,,0.07543,,,,,,,1.35047,0.05389
H2029,0.3056,0.03164,0.09325,1.21042,,,,,,,0.22709,,,,,,,,
H2029,0.45166,0.01399,0.3442,,,,,0.13253,,,,,,,,,,0.69686,
H2029,0.13974,0.02825,0.51458,,,,,0.06445,,,,,,,,,,0.66649,
H2029,0.95824,,0.28141,,,,0.04468,0.0055,,,0.00276,,,,,,,0.45465,
H2029,,,0.03328,0.22229,,0.004,,,,,,,,2.2516,,,,,5.68858
H2029,,0.04752,0.02789,2.95075,,,,,,,,,,2.06382,,,,,5.86381
H2029,,,0.04078,0.24833,,,,,,,,0.05287,,0.75647,,,,,2.3087
H2029,,,,0.24862,,0.15422,,,,,,,,,,0.019,,,10.8936
H2029,,,0.03445,,,,,,,,,,,,,,,,0.27977
H2029,,,,,0.07404,0.20198,,0.24532,,,0.00197,0.01057,,,,0.06271,,,
H2029,0.09576,,,0.00405,0.39074,0.35169,,0.16027,,,0.0019,,,,,0.09447,,0.01344,
H2029,0.05688,,,0.01375,,0.09387,,0.05344,,,0.0074,,,,,0.01512,,0.28483,
H2029,,,,0.17991,,0.08972,,0.07569,,,0.02375,0.02128,,0.09599,,,,0.65011,
H2029,0.64698,,,0.21123,,,,,,,0.00242,,,0.08951,,,,,0.20294
H2029,15.9415,0.13171,,0.04801,0.33908,,17.2465,,,,,,,0.20148,,,,,
H2029,3.34255,,,0.02015,0.09834,,39.5348,,,,,,,0.05385,,,1.21297,0.03771,
H2029,0.11316,0.02317,,0.4259,0.68196,,42.6157,,,,,,,0.06648,,,,0.01093,
H2029,0.11743,,,0.00677,,,46.3665,,,,,,,0.19137,,,,,
H2029,1.25549,,,,1.61728,,10.0893,0.86434,,,,,,,,,,,
H2029,,,,,0.09168,,22.1747,,,,,,,0.01485,,,,,
H2029,,,,,0.58929,,14.8393,,,,,,,,,,,,
H2029,0.32344,,,,0.85601,,66.9454,,,,,,,,,,,,
H2029,,,,,,,,,,,,,,,,,,,
H2029,0.501,0.0051,0.01117,,,0.02042,,,,,,,,0.02631,,,,,
H2029,,,,,0.30595,,,,,,,,,,,,,,
H2029,,0.6906,,,,,,,,,,,,,,,,,
H2029,0.11853,0.03967,0.03155,0.02094,,,,,,,,,,0.02367,,,,,2.39395
H2029,0.16621,0.02194,0.02773,0.01832,,0.01617,23.8564,,,,0.00853,,,0.60835,0.00337,,0.05799,0.19347,
H2029,0.46739,0.00246,0.0144,0.01146,,0.02523,0.10444,0.03265,,,0.20136,,,0.08462,,,0.04736,,
H2029,0.02436,0.01297,0.01538,0.0651,,0.00625,,0.00897,,,0.0599,,,0.29526,,,,,
H2029,8.28133,0.00198,0.04261,0.00719,,,,0.01415,,0.06085,0.00579,,,,,,,,
H2029,0.7934,,0.0436,0.00135,,,8.67084,0.02048,,0.0028,,,,,0.00098,,0.03404,0.0095,
H2029,0.16545,0.00631,,0.08542,,,73.1756,,,,0.05094,,,1.13076,,,,,
H2029,7.75799,,0.06087,0.00283,,0.00115,24.9344,0.06783,,,,0.00906,,0.01366,,,,0.03183,0.77284
H2029,4.03227,,0.01703,0.00101,,,77.5737,0.01359,,,0.012,,,0.0076,,,,,
H2029,3.34257,0.02818,0.3019,0.01817,,,,,,0.05728,,,,0.10718,0.00556,,,0.00433,
H2029,1.50637,0.00719,,0.00317,,,0.10094,0.01073,,0.09455,0.4318,,,,0.00333,,,0.06598,
H2029,0.62458,0.00326,0.02627,0.06859,,,4.6813,0.02338,,,,,,0.27315,0.01352,,,0.01289,
H2029,4.93111,0.00737,0.05376,0.24726,,0.00035,0.15395,0.05025,,0.0505,,,,0.00173,0.00483,,,0.01668,
H2029,0.44503,,0.01311,,,0.01366,,0.03282,,,,,,,,,,0.03604,
H2029,7.5349,,,0.76455,,,62.7541,,,0.52185,,,,0.14132,0.00479,,0.04899,,
H2029,0.03749,0.28913,0.00386,2.7813,0.28851,0.00918,25.0457,,,,,,0.04885,5.88254,0.1086,,0.0695,0.01573,
H2029,3.87082,,0.0407,0.21823,,0.00948,1.90883,0.04863,,0.03772,0.12333,,,0.35835,,,,,0.2574
H2029,0.96863,0.13351,,0.64073,,,,,,0.06522,0.13979,,0.00074,3.65526,0.00871,,,,
H2029,0.50052,0.00553,0.0582,0.27405,,0.03083,0.00544,0.01439,,,0.09423,,,0.16343,0.00481,,0.09786,0.08017,
H2029,0.29785,0.02278,0.02647,0.07828,0.01452,0.01468,,,0.00743,,0.10869,,,0.11585,0.00287,,,0.02545,
H2029,8.97091,0.00664,0.00269,0.05165,,,,0.00789,,,0.08945,,,0.48735,,,,0.00335,
H2029,4.26721,,,0.00964,,,56.6161,0.03622,,0.01273,,,,0.18385,,,,0.05391,2.34709
H2029,0.17623,0.03154,0.09247,0.0166,1.28655,0.14763,,0.06278,,,,,,0.07025,,,,0.73444,
H2029,0.58898,0.17115,,6.93799,0.0024,,0.0077,,,0.08377,,0.08489,0.06109,2.12999,0.08097,,20.6721,,
H2029,1.16168,0.24686,0.061,,,,0.07547,0.00169,0.00681,0.14602,0.06231,,,0.00639,,,,,
H2029,0.11307,0.01393,0.0587,0.11113,,0.03633,18.1329,0.06657,,,0.09905,,,0.06424,,0.00323,,0.03093,
H2029,1.56252,0.0045,0.05131,0.00211,,0.01321,14.3357,0.24344,,,0.34954,,,,,,,0.16251,2.86357
H2029,2.51787,0.00185,0.00662,,,,50.0856,0.01089,,,0.26661,,,0.01842,,,,0.18292,
H2029,16.1753,,0.0355,0.12619,,,,0.02,,0.01111,,,,0.25517,,,,,
H2029,0.00214174,0.148851,0.0396222,0.0342678,0.00535435,,0.02463,0.0203465,0.00214174,0.00321261,0.00428348,0.00214174,0.0342678,0.0321261,0.0342678,0.0214174,0.0471183,0.00214174,0.0107087
H2029,0.000567064,0.000283532,0.0467828,0.0070883,0.0201308,0.000283532,6.23884,0.785667,0.00368591,,0.00311885,0.0396945,0.00226826,0.00141766,0.0326062,0.00311885,0.0686147,0.149705,0.0167284
H2029,,0.000349683,0.083924,0.000349683,0.0202816,,6.70693,1.52497,0.00139873,,0.0041962,0.0020981,0.000699367,0.000349683,0.0188829,,0.000699367,0.0384652,0.0020981
H2029,,,0.0482826,0.00259235,0.000324044,0.00226831,4.73461,9.99579,0.000324044,0.000324044,0.0129618,0.00453662,0.000972132,0.000972132,0.0136099,0.000324044,0.0311082,0.00583279,0.00162022
H2029,,0.000276375,0.0444964,0.000276375,0.006633,,4.18764,1.79091,0.002211,0.00055275,0.00248738,0.0113314,0.00138188,,0.00829125,0.00138188,0.0820834,0.00055275,
H2029,0.00263467,0.0101333,0.0174293,,7.82354,0.0691093,1.99404,0.998944,0.000202667,0.00466133,0.008512,0.012768,0.00101333,0.000405333,0.00648533,0.034656,1.43914,0.0715413,0.0403307
H2029,0.00128803,0.00515213,0.0212525,,0.492673,0.0148124,8.99015,3.75365,,,0.00418611,0.177749,0.00193205,0.000644017,0.0128803,0.00869422,0.407663,0.0148124,0.00354209
H2029,,0.000206331,0.311766,0.000618993,0.0396156,,8.5844,0.253581,0.00247597,0.000206331,0.00165065,0.00371396,0.00165065,0.000206331,0.213553,0.000825324,0.0815008,0.00350763,0.00185698
H2029,0.00720114,0.00297978,0.0193686,0.00148989,3.15708,0.0196169,9.37514,1.13356,0.00049663,0.000993261,0.00869103,0.00720114,0.00223484,0.00273147,0.0178787,0.0032281,0.337957,0.0101809,0.0114225
H2029,,0.000668194,0.0446019,0.000501145,0.574145,0.000167048,2.61631,12.8535,0.00116934,0.000167048,0.00367506,0.00985585,0.000835242,0.000668194,0.0170389,0.000835242,0.0678216,0.0143662,0.00133639
H2029,,0.033935,0.0226233,0.0258552,,0.00323191,0.0290871,0.158363,0.00161595,0.150284,0.0807976,0.00323191,0.00323191,0.0743338,0.00323191,0.00807976,0.00161595,,
H2029,0.00255944,0.0166364,0.0115175,0.00127972,,,0.0102378,0.0499091,,0.0127972,0.18556,0.0102378,0.00255944,0.00255944,0.00127972,0.00511889,0.00255944,,
H2029,,0.00456565,0.013697,0.00608754,0.00152188,,0.10501,0.0563097,0.00913131,0.0715286,0.917696,0.00456565,0.00456565,0.00456565,,0.00152188,0.0684848,,
H2029,,0.00785592,0.0098199,0.0373156,0.00392796,,0.0490995,0.108019,,0.0314237,0.728637,0.00392796,,0.129623,,0.00196398,,,
H2029,,0.00379082,0.00758164,0.100457,,,0.0208495,0.248299,,0.0132679,1.05385,0.00379082,,0.121306,,0.00568623,,,
H2029,,0.00144217,0.00288434,0.0648976,,,0.0576868,0.233631,,0.00144217,1.27776,,,0.0230747,,,,0.00288434,
H2029,,0.00377183,0.0150873,0.125728,,,0.0188591,0.095553,0.00125728,0.00377183,1.43958,0.00125728,0.00502911,0.0603493,0.00125728,,,,
H2029,,0.0144869,0.0130382,0.0391146,,,0.0202816,0.0521527,,0.0130382,0.149215,0.00144869,0.00434606,0.0188329,,0.00434606,0.00289738,,
H2029,0.00766754,0.0134182,0.017252,0.00191688,0.00191688,0.00383377,0.130348,0.230026,,0.00191688,0.362291,0.00766754,0.00191688,0.00575065,,,0.00191688,0.00191688,
